Date,Close,High,Low,Open,Volume
2010-01-04,17.08320426940918,17.661167533544166,16.996252817909372,17.420776475877013,3299500
2010-01-05,17.01671028137207,17.129234987796583,16.83257965308288,17.042283546164448,4545400
2010-01-06,17.1138916015625,17.211072751449855,17.01671240279043,17.01671240279043,3409700
2010-01-07,17.27755355834961,17.482143494303962,16.970670605532316,17.02693293547547,3637300
2010-01-08,17.0576229095459,17.323589090270218,16.924640794741013,17.211066362701334,2325900
2010-01-11,17.006479263305664,17.313362319190038,16.950216914466722,17.17015048659265,2320600
2010-01-12,16.760976791381836,17.02694308623491,16.633108492959135,16.868385693789214,2684400
2010-01-13,17.292903900146484,17.33382072809326,16.817233824687204,16.842807086043287,3128000
2010-01-14,17.26221466064453,17.31847700579092,17.057624669405804,17.14457609857243,1810800
2010-01-15,17.06785774230957,17.221299290551826,17.01159538602721,17.170152758176123,2485600
2010-01-19,17.604902267456055,17.62536165868005,17.11388858476979,17.287789507943874,2517000
2010-01-20,17.272445678710938,17.451460471424642,17.2059536337966,17.451460471424642,2941000
2010-01-21,16.84281349182129,17.507728295538413,16.817240220739,17.282680778452537,4540500
2010-01-22,16.33133888244629,17.078089261046166,16.26996167126659,16.85815563635896,4798300
2010-01-25,16.326221466064453,16.566613472968687,16.10117302787393,16.505237246998785,3559400
2010-01-26,16.2955322265625,16.556382632238165,16.106286762529958,16.25972926796221,2341200
2010-01-27,16.592193603515625,16.617768830107934,16.060261864253526,16.25462226988312,3021100
2010-01-28,16.510351181030273,16.709825379511745,16.3108769825488,16.69448181074088,2204700
2010-01-29,16.39270782470703,16.730279897110307,16.25461086822005,16.566608707527777,3315200
2010-02-01,16.760976791381836,16.801893632297098,16.495010496528767,16.53081346399789,2502800
2010-02-02,17.0576229095459,17.0576229095459,16.58706870980525,16.755853776715853,3170800
2010-02-03,16.556385040283203,16.950219593282597,16.51035237951405,16.950219593282597,2429000
2010-02-04,16.73539161682129,17.7583372765074,16.72004610516847,17.38496234485565,7454100
2010-02-05,16.86326789855957,17.04228269427286,16.392711655218307,16.827464939416913,4661000
2010-02-08,16.592193603515625,16.99625798983752,16.55639062762542,16.847930260511884,3303800
2010-02-09,16.571725845336914,16.85814947428833,16.428512079746568,16.79677326110083,3456700
2010-02-10,16.500123977661133,16.796779359483793,16.27507648018954,16.551272466483322,3014900
2010-02-11,16.75585174560547,16.766081437983445,16.305756012103235,16.418279701589505,2615300
2010-02-12,16.98090362548828,17.01159075611577,16.46431481395994,16.59729888372777,3192800
2010-02-16,17.589555740356445,17.620244822029356,17.16503417501153,17.287786599473957,3112600
2010-02-17,17.696964263916016,17.732767216298104,17.543522760690706,17.61512866545488,2615100
2010-02-18,17.937360763549805,18.034539946370305,17.579329217246194,17.58955891298229,3128900
2010-02-19,18.13682746887207,18.20331948816283,17.74810894687087,17.840174219392186,3696200
2010-02-22,18.37211227416992,18.530669632899784,18.008966852136833,18.157294515034284,4216900
2010-02-23,18.25958633422852,18.39768427718248,18.14706165083314,18.39768427718248,4729700
2010-02-24,18.46929359436035,18.46929359436035,18.147065001308334,18.331195625909487,3003000
2010-02-25,18.535785675048828,18.540899547467877,18.07545911273466,18.244244218173183,2843400
2010-02-26,18.45395851135254,18.668776371419543,18.41815358355881,18.52044863883086,3645800
2010-03-01,18.464174270629883,18.643190988885262,18.402798057769427,18.643190988885262,2461500
2010-03-02,18.47440719604492,18.597161594351835,18.377228012758383,18.525555674970704,2009000
2010-03-03,18.331195831298828,18.515326457963045,18.280049302165445,18.515326457963045,2456600
2010-03-04,18.45395851135254,18.510218938192065,18.305630778763856,18.382350606880973,2356300
2010-03-05,19.062599182128903,19.083058570651858,18.42837179572017,18.551126175743203,3557400
2010-03-08,19.24161720275879,19.28764985915045,19.0012261759268,19.052372704755303,2450200
2010-03-09,19.58942031860352,19.758207386572533,19.08306301692673,19.103520459101503,5593900
