Date,Close,High,Low,Open,Volume
2010-01-04,44.81543731689453,45.20362811182787,44.44110821233613,44.53815591106947,820700
2010-01-05,46.36127471923828,46.54844192565275,45.01646855704939,45.01646855704939,1852700
2010-01-06,47.86552047729492,48.08041104692543,46.617756840434176,47.06140495827294,3211500
2010-01-07,49.16872787475586,49.39055189628584,47.345611863078254,47.75459775423904,3962900
2010-01-08,49.41828918457031,49.48067472243419,48.97464106408465,48.97464106408465,1828300
2010-01-11,48.71815490722656,50.43036185346091,48.53792120533274,49.688637155274265,1934400
2010-01-12,47.56051254272461,48.2398464397776,46.93663069635749,48.14973222979795,1513800
2010-01-13,47.2277717590332,47.706082035411136,46.40979454877233,47.44959581832245,1388400
2010-01-14,47.18616485595703,47.79617948294001,45.86908265192245,46.92275053063047,1036600
2010-01-15,48.42008590698242,51.32459961629227,47.97643771651504,49.21726806722037,3176000
2010-01-19,47.830848693847656,48.65575922602464,47.06139548741571,48.54484457453456,1797400
2010-01-20,46.9643669128418,47.581315368748136,46.48605653898261,47.16539583390284,1362000
2010-01-21,44.420318603515625,47.116869903736166,44.2400848738194,46.95050315485696,2629700
2010-01-22,43.588478088378906,44.97487739529805,43.53995423163257,44.46191015416482,1294900
2010-01-25,43.44289016723633,44.28166509282303,43.35970681682355,43.86574305205709,1864900
2010-01-26,42.992313385009766,43.66471899862647,42.978449051864445,43.415166290713,1152700
2010-01-27,42.62491989135742,44.01825238604686,42.16740745264658,43.89347602600287,2353900
2010-01-28,41.64057159423828,43.03390667470256,41.342495040481296,42.97151849730339,2081600
2010-01-29,40.75328063964844,42.41696117605181,40.57998041850112,41.92478918263778,2487800
2010-02-01,41.36328887939453,42.11194698395334,40.81566227811663,41.065214979636224,1432100
2010-02-02,42.55561065673828,42.58333933248383,41.55740212906727,41.60592598944594,1179400
2010-02-03,41.93865203857422,42.659581567765954,41.48807042174153,42.63878374380273,1577800
2010-02-04,40.58690643310547,41.09294270130411,39.85904611978828,39.85904611978828,2898900
2010-02-05,40.72555541992188,40.93351517404687,39.741211349699405,40.462138321042616,2077300
2010-02-08,39.44313430786133,40.8641956974927,39.42233648162653,40.60077860144951,1635200
2010-02-09,40.10860061645508,40.39281285218253,39.68574768527126,39.70654286406676,1023100
2010-02-10,40.24723434448242,40.35814635277664,39.61642180149328,40.14325317980309,996200
2010-02-11,40.88034439086914,40.96383237160868,39.913297839216966,40.128971141868085,1161900
2010-02-12,40.810768127441406,40.84555345433426,39.88546569312996,40.55335352369391,1235800
2010-02-16,41.534324645996094,41.83348330671315,40.810777994310605,41.24212199075924,1281700
2010-02-17,42.60573959350586,42.61965160761233,41.722178076456814,41.76391942667938,1537100
2010-02-18,42.584842681884766,42.72398663145875,41.97956955328054,42.32742810024046,749900
2010-02-19,42.6544189453125,42.90487488719571,42.22307240628804,42.661374948996645,1101500
2010-02-22,42.78661346435547,43.04402811932747,42.397010825355295,42.91184278925014,1030700
2010-02-23,41.83346939086914,42.911830350250966,41.73606942284047,42.73094242052623,1180400
2010-02-24,41.7778205871582,41.85434990975825,40.789903360013966,41.79869390947231,1922700
